SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532509,SUPRAJIT ENG,A ,Q,265.00,280.55,265.00,278.75,280.00,271.85,452,6948,1914478.00,
532513,TVSELE      ,T ,Q,126.15,133.00,124.60,125.85,129.40,131.15,272,8613,1092829.00,
532514,INDRA GAS   ,A ,Q,517.00,524.00,511.60,521.90,521.90,516.95,2595,89454,46428783.00,
532515,TV TODAY    ,A ,Q,287.40,287.40,270.00,272.10,271.25,267.85,174,1855,508174.00,
532521,PALRED      ,T ,Q,110.15,113.80,110.15,112.50,110.15,115.90,75,7284,808547.00,
532522,PETRONET LNG,A ,Q,221.90,226.00,220.20,224.40,224.40,221.80,2375,147557,32989662.00,
532523,BIOCON LTD. ,A ,Q,404.00,412.10,401.55,406.90,406.60,404.10,1633,144799,58888531.00,
532524,PTC INDIA   ,A ,Q,85.85,85.85,82.90,84.50,84.50,82.95,864,151350,12819451.00,
532525,BANK MAHA   ,A ,Q,23.45,27.30,23.00,27.00,27.00,22.75,6610,3296986,85269982.00,
532527,RK FORGINGS ,A ,Q,511.10,529.45,495.95,515.00,515.05,512.80,288,1241,631521.00,
532528,DATAM GLOB  ,B ,Q,116.50,118.30,113.65,116.90,116.50,114.55,240,9575,1111423.00,
532529,NDTV        ,B ,Q,57.35,61.40,56.15,57.30,56.75,57.50,138,10016,601740.00,
532531,STAR        ,A ,Q,892.20,917.05,870.50,876.15,876.15,874.65,3707,96589,86380308.00,
532532,JAIPRA      ,A ,Q,7.34,7.76,7.24,7.38,7.38,7.18,1397,1483176,11035069.00,
532538,ULTRATECH CM,A ,Q,6506.30,6650.65,6506.00,6604.80,6601.30,6505.50,1718,19360,127363052.00,
532539,MINDA IND   ,A ,Q,524.70,527.05,504.40,510.90,510.90,519.65,1780,167449,85049567.00,
